Name,Sa,Sz,Sa λ<10um,Average Step Height
tungstenCarbide_NX2_obj20x_zoom1x_001.xyz,1.5747903517831596,11.324103716427393,0.20387439158784815,15.191454800578116
tungstenCarbide_NX2_obj20x_zoom1x_002.xyz,3.60287650718707,24.16962545063562,1.3898907099399274,134.926152141712
tungstenCarbide_NX2_obj20x_zoom1x_003.xyz,0.645900837563227,5.761435199351407,0.2967096898211918,30.822756486756695
tungstenCarbide_NX2_obj20x_zoom1x_004.xyz,1.541396627433486,11.13302864844413,0.10102974518621952,4.714392507443708
tungstenCarbide_NX2_obj20x_zoom1x_005.xyz,1.3531177680911224,10.771559350872995,0.15621054142122065,3.904382089058575
tungstenCarbide_NX2_obj20x_zoom1x_006.xyz,1.0847525068160169,9.896815514821288,0.14196043521969814,5.886791200895358
tungstenCarbide_NX2_obj20x_zoom1x_007.xyz,1.5865797785752949,24.340299544681457,1.0911109144548052,88.36497584796683
tungstenCarbide_NX2_obj20x_zoom1x_008.xyz,1.0466586700987148,10.74852642209072,0.18207702391359112,11.022071848787292
tungstenCarbide_NX2_obj20x_zoom1x_009.xyz,1.1283082832446605,7.8407167344917745,0.14910177284925316,5.755942157079919
tungstenCarbide_NX2_obj20x_zoom1x_010.xyz,0.9537831868382919,9.060396664904165,0.12056907017961137,7.750315484391818
tungstenCarbide_NX2_obj20x_zoom1x_011.xyz,2.795895591430492,19.580267916102905,0.4341965011942698,37.48634229699852
tungstenCarbide_NX2_obj20x_zoom1x_012.xyz,1.001959700751302,6.713387548288543,0.13462162472405495,4.829527122680392
tungstenCarbide_NX2_obj20x_zoom1x_013.xyz,0.8207497588319267,7.167326395014269,0.11889318734653263,5.914466875888949
tungstenCarbide_NX2_obj20x_zoom1x_014.xyz,,,,
tungstenCarbide_NX2_obj20x_zoom1x_015.xyz,0.7531704089400129,6.306872774652905,0.16070339326137387,9.13873519524494
tungstenCarbide_NX2_obj20x_zoom1x_016.xyz,0.6272310134152608,5.02544166634031,0.06939708019669134,1.9927528749355985
tungstenCarbide_NX2_obj20x_zoom1x_017.xyz,1.1258279590205431,7.006911163984809,0.0964145968213946,5.91181821776314
tungstenCarbide_NX2_obj20x_zoom1x_018.xyz,0.5745107717310866,14.257795191426265,0.0943734504658077,1.465608752990402
tungstenCarbide_NX2_obj20x_zoom1x_019.xyz,0.8683319780813836,10.423525415346258,0.30214070008852817,32.35714899050254
tungstenCarbide_NX2_obj20x_zoom1x_020.xyz,0.9565377357854301,7.750335501755544,0.1699166365191454,10.379218652835885
tungstenCarbide_NX2_obj20x_zoom1x_021.xyz,1.4469094422533757,8.649181334825942,0.23595916866528574,18.33113383060678
tungstenCarbide_NX2_obj20x_zoom1x_022.xyz,1.2170944128348982,9.133011879467569,0.08853370281779407,1.946385525311495
tungstenCarbide_NX2_obj20x_zoom1x_023.xyz,2.293052352647572,12.40520623282951,0.12985358791625307,7.180976433171262
tungstenCarbide_NX2_obj20x_zoom1x_024.xyz,0.7378177759525387,6.67265976207201,0.16610415964620184,10.776116225542033
tungstenCarbide_NX2_obj20x_zoom1x_025.xyz,1.7612332385091536,11.360953633513809,0.0903619751338858,1.7527996667523367
tungstenCarbide_NX2_obj20x_zoom1x_026.xyz,1.3573970133489714,10.235829968877939,0.10644758499802369,4.055345241943262
tungstenCarbide_NX2_obj20x_zoom1x_027.xyz,1.2587904322013024,8.134961550620027,0.07575776510614798,5.092232543223956
tungstenCarbide_NX2_obj20x_zoom1x_028.xyz,0.8872728374778819,6.603973327335476,0.1808649701303184,15.729939540143151
tungstenCarbide_NX2_obj20x_zoom1x_029.xyz,0.5671171878694135,6.598444662451617,0.11737301898843272,6.616382001289026
tungstenCarbide_NX2_obj20x_zoom1x_030.xyz,0.8002984071887552,6.315425907025274,0.15756704010132702,10.602827783559489
tungstenCarbide_NX2_obj20x_zoom1x_031.xyz,0.9166688823358896,7.244247429336161,0.07418346376711348,2.3594873671387884
tungstenCarbide_NX2_obj20x_zoom1x_032.xyz,2.341152026012629,20.072130812656248,0.21635709878910828,10.553529896465905
tungstenCarbide_NX2_obj20x_zoom1x_033.xyz,0.9592681306309632,8.447637645304665,0.10413820933550855,6.671744442968681
tungstenCarbide_NX2_obj20x_zoom1x_034.xyz,0.7100570806168688,5.691541772568569,0.10497344819275692,3.9802785400051954
tungstenCarbide_NX2_obj20x_zoom1x_035.xyz,1.5767969875314416,11.067078045348353,0.11737669309847508,9.49568526710056
tungstenCarbide_NX2_obj20x_zoom1x_036.xyz,1.7692371764385069,20.055464134297367,0.3514853035454771,36.24106109200001
tungstenCarbide_NX2_obj20x_zoom1x_037.xyz,0.5740093838609704,4.9730793328877265,0.15737477115353607,12.148404381920832
tungstenCarbide_NX2_obj20x_zoom1x_038.xyz,9.61181768209007,59.579441745318555,0.48404214557977665,15.550483399491092
tungstenCarbide_NX2_obj20x_zoom1x_039.xyz,1.7249258224152544,9.187842573320014,0.18792108233190358,12.08447192516991
tungstenCarbide_NX2_obj20x_zoom1x_040.xyz,0.7548128594726939,5.231056654739791,0.1566689507297747,9.613622980796153
tungstenCarbide_NX2_obj20x_zoom1x_041.xyz,0.897878413914693,7.301527794972234,0.23483627233854362,15.411387097177087
tungstenCarbide_NX2_obj20x_zoom1x_042.xyz,0.7580288946219795,5.104914214064511,0.08245331006292311,2.1132340890119057
tungstenCarbide_NX2_obj20x_zoom1x_043.xyz,,,,
tungstenCarbide_NX2_obj20x_zoom1x_044.xyz,1.2943110196411343,8.816980491465646,0.13294919617023324,14.9088441522897
